"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","787","addCaseToProject","Surefire suite","Fri May 15 19:44:26 UTC 2026","passed","Fri May 15 19:44:27 UTC 2026","tests.api.CaseApiTest","Surefire test","tests.api.CaseApiTest","addCaseToProject"
"","953","verifyProjectFieldsAfterCreate","Surefire suite","Fri May 15 19:44:25 UTC 2026","passed","Fri May 15 19:44:26 UTC 2026","tests.api.ProjectApiTest","Surefire test","tests.api.ProjectApiTest","verifyProjectFieldsAfterCreate"
"Create and remove project","66005","createAndRemoveProject","Surefire suite","Fri May 15 19:43:10 UTC 2026","failed","Fri May 15 19:44:16 UTC 2026","tests.ui.ProjectUiTest","Surefire test","tests.ui.ProjectUiTest","createAndRemoveProject"
"","861","createAndRemoveProject","Surefire suite","Fri May 15 19:44:23 UTC 2026","passed","Fri May 15 19:44:24 UTC 2026","tests.api.ProjectApiTest","Surefire test","tests.api.ProjectApiTest","createAndRemoveProject"
"Create test case in UI","73967","createCaseUi","Surefire suite","Fri May 15 19:39:41 UTC 2026","failed","Fri May 15 19:40:55 UTC 2026","tests.ui.CaseUiTest","Surefire test","tests.ui.CaseUiTest","createCaseUi"
"Validation when creating project without name","5876","createProjectValidation","Surefire suite","Fri May 15 19:44:17 UTC 2026","passed","Fri May 15 19:44:23 UTC 2026","tests.ui.ProjectUiTest","Surefire test","tests.ui.ProjectUiTest","createProjectValidation"
"","343","createProjectMissingTitle","Surefire suite","Fri May 15 19:44:24 UTC 2026","passed","Fri May 15 19:44:25 UTC 2026","tests.api.ProjectApiTest","Surefire test","tests.api.ProjectApiTest","createProjectMissingTitle"
