"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Validation when creating project without name","12450","createProjectValidation","Surefire suite","2026-09-11","passed","2026-09-11","tests.ui.ProjectUiTest","Surefire test","tests.ui.ProjectUiTest","createProjectValidation"
"","1083","verifyProjectFieldsAfterCreate","Surefire suite","2026-09-11","passed","2026-09-11","tests.api.ProjectApiTest","Surefire test","tests.api.ProjectApiTest","verifyProjectFieldsAfterCreate"
"","343","createProjectMissingTitle","Surefire suite","2026-09-11","passed","2026-09-11","tests.api.ProjectApiTest","Surefire test","tests.api.ProjectApiTest","createProjectMissingTitle"
"","1045","addCaseToProject","Surefire suite","2026-09-11","passed","2026-09-11","tests.api.CaseApiTest","Surefire test","tests.api.CaseApiTest","addCaseToProject"
"Create and remove project","72406","createAndRemoveProject","Surefire suite","2026-09-11","failed","2026-09-11","tests.ui.ProjectUiTest","Surefire test","tests.ui.ProjectUiTest","createAndRemoveProject"
"","811","createAndRemoveProject","Surefire suite","2026-09-11","passed","2026-09-11","tests.api.ProjectApiTest","Surefire test","tests.api.ProjectApiTest","createAndRemoveProject"
"Create test case in UI","87298","createCaseUi","Surefire suite","2026-09-11","failed","2026-09-11","tests.ui.CaseUiTest","Surefire test","tests.ui.CaseUiTest","createCaseUi"
