"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","440","createAndRemoveProject","Surefire suite","2026-06-19","passed","2026-06-19","tests.api.ProjectApiTest","Surefire test","tests.api.ProjectApiTest","createAndRemoveProject"
"Validation when creating project without name","4847","createProjectValidation","Surefire suite","2026-06-19","passed","2026-06-19","tests.ui.ProjectUiTest","Surefire test","tests.ui.ProjectUiTest","createProjectValidation"
"Create test case in UI","65442","createCaseUi","Surefire suite","2026-06-19","failed","2026-06-19","tests.ui.CaseUiTest","Surefire test","tests.ui.CaseUiTest","createCaseUi"
"","839","addCaseToProject","Surefire suite","2026-06-19","passed","2026-06-19","tests.api.CaseApiTest","Surefire test","tests.api.CaseApiTest","addCaseToProject"
"","312","createProjectMissingTitle","Surefire suite","2026-06-19","passed","2026-06-19","tests.api.ProjectApiTest","Surefire test","tests.api.ProjectApiTest","createProjectMissingTitle"
"Create and remove project","65360","createAndRemoveProject","Surefire suite","2026-06-19","failed","2026-06-19","tests.ui.ProjectUiTest","Surefire test","tests.ui.ProjectUiTest","createAndRemoveProject"
"","520","verifyProjectFieldsAfterCreate","Surefire suite","2026-06-19","passed","2026-06-19","tests.api.ProjectApiTest","Surefire test","tests.api.ProjectApiTest","verifyProjectFieldsAfterCreate"
