"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","547","addCaseToProject","Surefire suite","Fri May 22 19:51:37 UTC 2026","passed","Fri May 22 19:51:37 UTC 2026","tests.api.CaseApiTest","Surefire test","tests.api.CaseApiTest","addCaseToProject"
"","208","createProjectMissingTitle","Surefire suite","Fri May 22 19:51:36 UTC 2026","passed","Fri May 22 19:51:36 UTC 2026","tests.api.ProjectApiTest","Surefire test","tests.api.ProjectApiTest","createProjectMissingTitle"
"Create and remove project","65660","createAndRemoveProject","Surefire suite","Fri May 22 19:50:23 UTC 2026","failed","Fri May 22 19:51:29 UTC 2026","tests.ui.ProjectUiTest","Surefire test","tests.ui.ProjectUiTest","createAndRemoveProject"
"Create test case in UI","79915","createCaseUi","Surefire suite","Fri May 22 19:46:48 UTC 2026","failed","Fri May 22 19:48:08 UTC 2026","tests.ui.CaseUiTest","Surefire test","tests.ui.CaseUiTest","createCaseUi"
"","582","verifyProjectFieldsAfterCreate","Surefire suite","Fri May 22 19:51:36 UTC 2026","passed","Fri May 22 19:51:37 UTC 2026","tests.api.ProjectApiTest","Surefire test","tests.api.ProjectApiTest","verifyProjectFieldsAfterCreate"
"","591","createAndRemoveProject","Surefire suite","Fri May 22 19:51:35 UTC 2026","passed","Fri May 22 19:51:36 UTC 2026","tests.api.ProjectApiTest","Surefire test","tests.api.ProjectApiTest","createAndRemoveProject"
"Validation when creating project without name","5219","createProjectValidation","Surefire suite","Fri May 22 19:51:30 UTC 2026","passed","Fri May 22 19:51:35 UTC 2026","tests.ui.ProjectUiTest","Surefire test","tests.ui.ProjectUiTest","createProjectValidation"
