"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Validation when creating project without name","13757","createProjectValidation","Surefire suite","2026-06-05","passed","2026-06-05","tests.ui.ProjectUiTest","Surefire test","tests.ui.ProjectUiTest","createProjectValidation"
"","994","verifyProjectFieldsAfterCreate","Surefire suite","2026-06-05","passed","2026-06-05","tests.api.ProjectApiTest","Surefire test","tests.api.ProjectApiTest","verifyProjectFieldsAfterCreate"
"Create and remove project","72317","createAndRemoveProject","Surefire suite","2026-06-05","failed","2026-06-05","tests.ui.ProjectUiTest","Surefire test","tests.ui.ProjectUiTest","createAndRemoveProject"
"","329","createProjectMissingTitle","Surefire suite","2026-06-05","passed","2026-06-05","tests.api.ProjectApiTest","Surefire test","tests.api.ProjectApiTest","createProjectMissingTitle"
"","859","createAndRemoveProject","Surefire suite","2026-06-05","passed","2026-06-05","tests.api.ProjectApiTest","Surefire test","tests.api.ProjectApiTest","createAndRemoveProject"
"","935","addCaseToProject","Surefire suite","2026-06-05","passed","2026-06-05","tests.api.CaseApiTest","Surefire test","tests.api.CaseApiTest","addCaseToProject"
"Create test case in UI","74556","createCaseUi","Surefire suite","2026-06-05","failed","2026-06-05","tests.ui.CaseUiTest","Surefire test","tests.ui.CaseUiTest","createCaseUi"
