"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Create and remove project","24936","createAndRemoveProject","Surefire suite","Fri Nov 14 18:30:03 UTC 2025","passed","Fri Nov 14 18:30:28 UTC 2025","tests.ui.ProjectUiTest","Surefire test","tests.ui.ProjectUiTest","createAndRemoveProject"
"","1465","createProjectMissingTitle","Surefire suite","Fri Nov 14 18:30:00 UTC 2025","passed","Fri Nov 14 18:30:02 UTC 2025","tests.api.ProjectApiTest","Surefire test","tests.api.ProjectApiTest","createProjectMissingTitle"
"","1333","addCaseToProject","Surefire suite","Fri Nov 14 18:29:58 UTC 2025","passed","Fri Nov 14 18:29:59 UTC 2025","tests.api.CaseApiTest","Surefire test","tests.api.CaseApiTest","addCaseToProject"
"","851","verifyProjectFieldsAfterCreate","Surefire suite","Fri Nov 14 18:30:02 UTC 2025","passed","Fri Nov 14 18:30:03 UTC 2025","tests.api.ProjectApiTest","Surefire test","tests.api.ProjectApiTest","verifyProjectFieldsAfterCreate"
"Create test case in UI","11901","createCaseUi","Surefire suite","Fri Nov 14 18:30:33 UTC 2025","failed","Fri Nov 14 18:30:45 UTC 2025","tests.ui.CaseUiTest","Surefire test","tests.ui.CaseUiTest","createCaseUi"
"","607","createAndRemoveProject","Surefire suite","Fri Nov 14 18:29:59 UTC 2025","passed","Fri Nov 14 18:30:00 UTC 2025","tests.api.ProjectApiTest","Surefire test","tests.api.ProjectApiTest","createAndRemoveProject"
"Validation when creating project without name","4415","createProjectValidation","Surefire suite","Fri Nov 14 18:30:28 UTC 2025","passed","Fri Nov 14 18:30:32 UTC 2025","tests.ui.ProjectUiTest","Surefire test","tests.ui.ProjectUiTest","createProjectValidation"
