"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","389","createProjectMissingTitle","Surefire suite","2026-08-21","passed","2026-08-21","tests.api.ProjectApiTest","Surefire test","tests.api.ProjectApiTest","createProjectMissingTitle"
"","1194","verifyProjectFieldsAfterCreate","Surefire suite","2026-08-21","passed","2026-08-21","tests.api.ProjectApiTest","Surefire test","tests.api.ProjectApiTest","verifyProjectFieldsAfterCreate"
"Create test case in UI","85683","createCaseUi","Surefire suite","2026-08-21","failed","2026-08-21","tests.ui.CaseUiTest","Surefire test","tests.ui.CaseUiTest","createCaseUi"
"Validation when creating project without name","12574","createProjectValidation","Surefire suite","2026-08-21","passed","2026-08-21","tests.ui.ProjectUiTest","Surefire test","tests.ui.ProjectUiTest","createProjectValidation"
"Create and remove project","72679","createAndRemoveProject","Surefire suite","2026-08-21","failed","2026-08-21","tests.ui.ProjectUiTest","Surefire test","tests.ui.ProjectUiTest","createAndRemoveProject"
"","820","createAndRemoveProject","Surefire suite","2026-08-21","passed","2026-08-21","tests.api.ProjectApiTest","Surefire test","tests.api.ProjectApiTest","createAndRemoveProject"
"","1036","addCaseToProject","Surefire suite","2026-08-21","passed","2026-08-21","tests.api.CaseApiTest","Surefire test","tests.api.CaseApiTest","addCaseToProject"
