"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","308","createProjectMissingTitle","Surefire suite","Fri Apr 10 19:01:24 UTC 2026","passed","Fri Apr 10 19:01:24 UTC 2026","tests.api.ProjectApiTest","Surefire test","tests.api.ProjectApiTest","createProjectMissingTitle"
"","843","addCaseToProject","Surefire suite","Fri Apr 10 19:01:22 UTC 2026","passed","Fri Apr 10 19:01:23 UTC 2026","tests.api.CaseApiTest","Surefire test","tests.api.CaseApiTest","addCaseToProject"
"Create test case in UI","81587","createCaseUi","Surefire suite","Fri Apr 10 18:56:03 UTC 2026","failed","Fri Apr 10 18:57:24 UTC 2026","tests.ui.CaseUiTest","Surefire test","tests.ui.CaseUiTest","createCaseUi"
"Validation when creating project without name","12899","createProjectValidation","Surefire suite","Fri Apr 10 19:01:08 UTC 2026","passed","Fri Apr 10 19:01:21 UTC 2026","tests.ui.ProjectUiTest","Surefire test","tests.ui.ProjectUiTest","createProjectValidation"
"Create and remove project","73599","createAndRemoveProject","Surefire suite","Fri Apr 10 18:59:54 UTC 2026","failed","Fri Apr 10 19:01:08 UTC 2026","tests.ui.ProjectUiTest","Surefire test","tests.ui.ProjectUiTest","createAndRemoveProject"
"","682","createAndRemoveProject","Surefire suite","Fri Apr 10 19:01:23 UTC 2026","passed","Fri Apr 10 19:01:24 UTC 2026","tests.api.ProjectApiTest","Surefire test","tests.api.ProjectApiTest","createAndRemoveProject"
"","859","verifyProjectFieldsAfterCreate","Surefire suite","Fri Apr 10 19:01:24 UTC 2026","passed","Fri Apr 10 19:01:25 UTC 2026","tests.api.ProjectApiTest","Surefire test","tests.api.ProjectApiTest","verifyProjectFieldsAfterCreate"
