"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Create test case in UI","12787","createCaseUi","Surefire suite","Fri Oct 24 18:28:06 UTC 2025","failed","Fri Oct 24 18:28:19 UTC 2025","tests.ui.CaseUiTest","Surefire test","tests.ui.CaseUiTest","createCaseUi"
"Create and remove project","10942","createAndRemoveProject","Surefire suite","Fri Oct 24 18:27:49 UTC 2025","passed","Fri Oct 24 18:28:00 UTC 2025","tests.ui.ProjectUiTest","Surefire test","tests.ui.ProjectUiTest","createAndRemoveProject"
"","1064","verifyProjectFieldsAfterCreate","Surefire suite","Fri Oct 24 18:27:48 UTC 2025","passed","Fri Oct 24 18:27:49 UTC 2025","tests.api.ProjectApiTest","Surefire test","tests.api.ProjectApiTest","verifyProjectFieldsAfterCreate"
"Validation when creating project without name","4852","createProjectValidation","Surefire suite","Fri Oct 24 18:28:01 UTC 2025","passed","Fri Oct 24 18:28:06 UTC 2025","tests.ui.ProjectUiTest","Surefire test","tests.ui.ProjectUiTest","createProjectValidation"
"","1293","addCaseToProject","Surefire suite","Fri Oct 24 18:27:44 UTC 2025","passed","Fri Oct 24 18:27:46 UTC 2025","tests.api.CaseApiTest","Surefire test","tests.api.CaseApiTest","addCaseToProject"
"","777","createAndRemoveProject","Surefire suite","Fri Oct 24 18:27:46 UTC 2025","passed","Fri Oct 24 18:27:47 UTC 2025","tests.api.ProjectApiTest","Surefire test","tests.api.ProjectApiTest","createAndRemoveProject"
"","503","createProjectMissingTitle","Surefire suite","Fri Oct 24 18:27:47 UTC 2025","passed","Fri Oct 24 18:27:48 UTC 2025","tests.api.ProjectApiTest","Surefire test","tests.api.ProjectApiTest","createProjectMissingTitle"
