"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Create test case in UI","11409","createCaseUi","Surefire suite","Fri Dec 19 18:32:13 UTC 2025","failed","Fri Dec 19 18:32:25 UTC 2025","tests.ui.CaseUiTest","Surefire test","tests.ui.CaseUiTest","createCaseUi"
"Create and remove project","18443","createAndRemoveProject","Surefire suite","Fri Dec 19 18:31:47 UTC 2025","passed","Fri Dec 19 18:32:06 UTC 2025","tests.ui.ProjectUiTest","Surefire test","tests.ui.ProjectUiTest","createAndRemoveProject"
"Validation when creating project without name","6996","createProjectValidation","Surefire suite","Fri Dec 19 18:32:06 UTC 2025","passed","Fri Dec 19 18:32:13 UTC 2025","tests.ui.ProjectUiTest","Surefire test","tests.ui.ProjectUiTest","createProjectValidation"
"","1080","verifyProjectFieldsAfterCreate","Surefire suite","Fri Dec 19 18:31:46 UTC 2025","passed","Fri Dec 19 18:31:47 UTC 2025","tests.api.ProjectApiTest","Surefire test","tests.api.ProjectApiTest","verifyProjectFieldsAfterCreate"
"","784","createAndRemoveProject","Surefire suite","Fri Dec 19 18:31:44 UTC 2025","passed","Fri Dec 19 18:31:45 UTC 2025","tests.api.ProjectApiTest","Surefire test","tests.api.ProjectApiTest","createAndRemoveProject"
"","1206","addCaseToProject","Surefire suite","Fri Dec 19 18:31:42 UTC 2025","passed","Fri Dec 19 18:31:44 UTC 2025","tests.api.CaseApiTest","Surefire test","tests.api.CaseApiTest","addCaseToProject"
"","449","createProjectMissingTitle","Surefire suite","Fri Dec 19 18:31:45 UTC 2025","passed","Fri Dec 19 18:31:46 UTC 2025","tests.api.ProjectApiTest","Surefire test","tests.api.ProjectApiTest","createProjectMissingTitle"
