"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Validation when creating project without name","11953","createProjectValidation","Surefire suite","2026-06-26","passed","2026-06-26","tests.ui.ProjectUiTest","Surefire test","tests.ui.ProjectUiTest","createProjectValidation"
"","1023","verifyProjectFieldsAfterCreate","Surefire suite","2026-06-26","passed","2026-06-26","tests.api.ProjectApiTest","Surefire test","tests.api.ProjectApiTest","verifyProjectFieldsAfterCreate"
"","476","createProjectMissingTitle","Surefire suite","2026-06-26","passed","2026-06-26","tests.api.ProjectApiTest","Surefire test","tests.api.ProjectApiTest","createProjectMissingTitle"
"Create and remove project","72184","createAndRemoveProject","Surefire suite","2026-06-26","failed","2026-06-26","tests.ui.ProjectUiTest","Surefire test","tests.ui.ProjectUiTest","createAndRemoveProject"
"","1143","addCaseToProject","Surefire suite","2026-06-26","passed","2026-06-26","tests.api.CaseApiTest","Surefire test","tests.api.CaseApiTest","addCaseToProject"
"Create test case in UI","71888","createCaseUi","Surefire suite","2026-06-26","failed","2026-06-26","tests.ui.CaseUiTest","Surefire test","tests.ui.CaseUiTest","createCaseUi"
"","785","createAndRemoveProject","Surefire suite","2026-06-26","passed","2026-06-26","tests.api.ProjectApiTest","Surefire test","tests.api.ProjectApiTest","createAndRemoveProject"
