"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1176","addCaseToProject","Surefire suite","Fri Nov 07 18:29:27 UTC 2025","passed","Fri Nov 07 18:29:28 UTC 2025","tests.api.CaseApiTest","Surefire test","tests.api.CaseApiTest","addCaseToProject"
"Create and remove project","33806","createAndRemoveProject","Surefire suite","Fri Nov 07 18:29:31 UTC 2025","passed","Fri Nov 07 18:30:05 UTC 2025","tests.ui.ProjectUiTest","Surefire test","tests.ui.ProjectUiTest","createAndRemoveProject"
"Create test case in UI","12498","createCaseUi","Surefire suite","Fri Nov 07 18:30:11 UTC 2025","failed","Fri Nov 07 18:30:24 UTC 2025","tests.ui.CaseUiTest","Surefire test","tests.ui.CaseUiTest","createCaseUi"
"Validation when creating project without name","5285","createProjectValidation","Surefire suite","Fri Nov 07 18:30:06 UTC 2025","passed","Fri Nov 07 18:30:11 UTC 2025","tests.ui.ProjectUiTest","Surefire test","tests.ui.ProjectUiTest","createProjectValidation"
"","788","createAndRemoveProject","Surefire suite","Fri Nov 07 18:29:28 UTC 2025","passed","Fri Nov 07 18:29:29 UTC 2025","tests.api.ProjectApiTest","Surefire test","tests.api.ProjectApiTest","createAndRemoveProject"
"","429","createProjectMissingTitle","Surefire suite","Fri Nov 07 18:29:30 UTC 2025","passed","Fri Nov 07 18:29:30 UTC 2025","tests.api.ProjectApiTest","Surefire test","tests.api.ProjectApiTest","createProjectMissingTitle"
"","1008","verifyProjectFieldsAfterCreate","Surefire suite","Fri Nov 07 18:29:30 UTC 2025","passed","Fri Nov 07 18:29:31 UTC 2025","tests.api.ProjectApiTest","Surefire test","tests.api.ProjectApiTest","verifyProjectFieldsAfterCreate"
