"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1203","addCaseToProject","Surefire suite","Fri Dec 26 18:31:42 UTC 2025","passed","Fri Dec 26 18:31:43 UTC 2025","tests.api.CaseApiTest","Surefire test","tests.api.CaseApiTest","addCaseToProject"
"","1011","verifyProjectFieldsAfterCreate","Surefire suite","Fri Dec 26 18:31:46 UTC 2025","passed","Fri Dec 26 18:31:47 UTC 2025","tests.api.ProjectApiTest","Surefire test","tests.api.ProjectApiTest","verifyProjectFieldsAfterCreate"
"Create test case in UI","11982","createCaseUi","Surefire suite","Fri Dec 26 18:32:07 UTC 2025","failed","Fri Dec 26 18:32:18 UTC 2025","tests.ui.CaseUiTest","Surefire test","tests.ui.CaseUiTest","createCaseUi"
"","856","createAndRemoveProject","Surefire suite","Fri Dec 26 18:31:44 UTC 2025","passed","Fri Dec 26 18:31:45 UTC 2025","tests.api.ProjectApiTest","Surefire test","tests.api.ProjectApiTest","createAndRemoveProject"
"Validation when creating project without name","4624","createProjectValidation","Surefire suite","Fri Dec 26 18:32:02 UTC 2025","passed","Fri Dec 26 18:32:06 UTC 2025","tests.ui.ProjectUiTest","Surefire test","tests.ui.ProjectUiTest","createProjectValidation"
"Create and remove project","14279","createAndRemoveProject","Surefire suite","Fri Dec 26 18:31:47 UTC 2025","passed","Fri Dec 26 18:32:01 UTC 2025","tests.ui.ProjectUiTest","Surefire test","tests.ui.ProjectUiTest","createAndRemoveProject"
"","487","createProjectMissingTitle","Surefire suite","Fri Dec 26 18:31:45 UTC 2025","passed","Fri Dec 26 18:31:46 UTC 2025","tests.api.ProjectApiTest","Surefire test","tests.api.ProjectApiTest","createProjectMissingTitle"
