"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Create and remove project","65113","createAndRemoveProject","Surefire suite","2026-07-24","failed","2026-07-24","tests.ui.ProjectUiTest","Surefire test","tests.ui.ProjectUiTest","createAndRemoveProject"
"Validation when creating project without name","7752","createProjectValidation","Surefire suite","2026-07-24","passed","2026-07-24","tests.ui.ProjectUiTest","Surefire test","tests.ui.ProjectUiTest","createProjectValidation"
"","713","verifyProjectFieldsAfterCreate","Surefire suite","2026-07-24","passed","2026-07-24","tests.api.ProjectApiTest","Surefire test","tests.api.ProjectApiTest","verifyProjectFieldsAfterCreate"
"","287","createProjectMissingTitle","Surefire suite","2026-07-24","passed","2026-07-24","tests.api.ProjectApiTest","Surefire test","tests.api.ProjectApiTest","createProjectMissingTitle"
"Create test case in UI","74226","createCaseUi","Surefire suite","2026-07-24","failed","2026-07-24","tests.ui.CaseUiTest","Surefire test","tests.ui.CaseUiTest","createCaseUi"
"","666","addCaseToProject","Surefire suite","2026-07-24","passed","2026-07-24","tests.api.CaseApiTest","Surefire test","tests.api.CaseApiTest","addCaseToProject"
"","729","createAndRemoveProject","Surefire suite","2026-07-24","passed","2026-07-24","tests.api.ProjectApiTest","Surefire test","tests.api.ProjectApiTest","createAndRemoveProject"
