"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","387","createProjectMissingTitle","Surefire suite","Fri Feb 20 18:51:13 UTC 2026","passed","Fri Feb 20 18:51:13 UTC 2026","tests.api.ProjectApiTest","Surefire test","tests.api.ProjectApiTest","createProjectMissingTitle"
"","822","verifyProjectFieldsAfterCreate","Surefire suite","Fri Feb 20 18:51:13 UTC 2026","passed","Fri Feb 20 18:51:14 UTC 2026","tests.api.ProjectApiTest","Surefire test","tests.api.ProjectApiTest","verifyProjectFieldsAfterCreate"
"Create test case in UI","74988","createCaseUi","Surefire suite","Fri Feb 20 18:54:52 UTC 2026","failed","Fri Feb 20 18:56:07 UTC 2026","tests.ui.CaseUiTest","Surefire test","tests.ui.CaseUiTest","createCaseUi"
"","950","addCaseToProject","Surefire suite","Fri Feb 20 18:51:10 UTC 2026","passed","Fri Feb 20 18:51:11 UTC 2026","tests.api.CaseApiTest","Surefire test","tests.api.CaseApiTest","addCaseToProject"
"Validation when creating project without name","4599","createProjectValidation","Surefire suite","Fri Feb 20 18:54:47 UTC 2026","passed","Fri Feb 20 18:54:52 UTC 2026","tests.ui.ProjectUiTest","Surefire test","tests.ui.ProjectUiTest","createProjectValidation"
"Create and remove project","66005","createAndRemoveProject","Surefire suite","Fri Feb 20 18:53:40 UTC 2026","failed","Fri Feb 20 18:54:46 UTC 2026","tests.ui.ProjectUiTest","Surefire test","tests.ui.ProjectUiTest","createAndRemoveProject"
"","651","createAndRemoveProject","Surefire suite","Fri Feb 20 18:51:12 UTC 2026","passed","Fri Feb 20 18:51:12 UTC 2026","tests.api.ProjectApiTest","Surefire test","tests.api.ProjectApiTest","createAndRemoveProject"
