"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","587","verifyProjectFieldsAfterCreate","Surefire suite","2026-09-04","passed","2026-09-04","tests.api.ProjectApiTest","Surefire test","tests.api.ProjectApiTest","verifyProjectFieldsAfterCreate"
"","470","createAndRemoveProject","Surefire suite","2026-09-04","passed","2026-09-04","tests.api.ProjectApiTest","Surefire test","tests.api.ProjectApiTest","createAndRemoveProject"
"Validation when creating project without name","4303","createProjectValidation","Surefire suite","2026-09-04","passed","2026-09-04","tests.ui.ProjectUiTest","Surefire test","tests.ui.ProjectUiTest","createProjectValidation"
"","641","addCaseToProject","Surefire suite","2026-09-04","passed","2026-09-04","tests.api.CaseApiTest","Surefire test","tests.api.CaseApiTest","addCaseToProject"
"","202","createProjectMissingTitle","Surefire suite","2026-09-04","passed","2026-09-04","tests.api.ProjectApiTest","Surefire test","tests.api.ProjectApiTest","createProjectMissingTitle"
"Create test case in UI","92390","createCaseUi","Surefire suite","2026-09-04","failed","2026-09-04","tests.ui.CaseUiTest","Surefire test","tests.ui.CaseUiTest","createCaseUi"
"Create and remove project","64676","createAndRemoveProject","Surefire suite","2026-09-04","failed","2026-09-04","tests.ui.ProjectUiTest","Surefire test","tests.ui.ProjectUiTest","createAndRemoveProject"
