"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Create test case in UI","72834","createCaseUi","Surefire suite","Fri May 08 19:19:29 UTC 2026","failed","Fri May 08 19:20:42 UTC 2026","tests.ui.CaseUiTest","Surefire test","tests.ui.CaseUiTest","createCaseUi"
"","238","createProjectMissingTitle","Surefire suite","Fri May 08 19:24:10 UTC 2026","passed","Fri May 08 19:24:10 UTC 2026","tests.api.ProjectApiTest","Surefire test","tests.api.ProjectApiTest","createProjectMissingTitle"
"Create and remove project","66336","createAndRemoveProject","Surefire suite","Fri May 08 19:22:56 UTC 2026","failed","Fri May 08 19:24:02 UTC 2026","tests.ui.ProjectUiTest","Surefire test","tests.ui.ProjectUiTest","createAndRemoveProject"
"","632","createAndRemoveProject","Surefire suite","Fri May 08 19:24:09 UTC 2026","passed","Fri May 08 19:24:10 UTC 2026","tests.api.ProjectApiTest","Surefire test","tests.api.ProjectApiTest","createAndRemoveProject"
"","788","verifyProjectFieldsAfterCreate","Surefire suite","Fri May 08 19:24:10 UTC 2026","passed","Fri May 08 19:24:11 UTC 2026","tests.api.ProjectApiTest","Surefire test","tests.api.ProjectApiTest","verifyProjectFieldsAfterCreate"
"","673","addCaseToProject","Surefire suite","Fri May 08 19:24:08 UTC 2026","passed","Fri May 08 19:24:09 UTC 2026","tests.api.CaseApiTest","Surefire test","tests.api.CaseApiTest","addCaseToProject"
"Validation when creating project without name","5226","createProjectValidation","Surefire suite","Fri May 08 19:24:02 UTC 2026","passed","Fri May 08 19:24:08 UTC 2026","tests.ui.ProjectUiTest","Surefire test","tests.ui.ProjectUiTest","createProjectValidation"
