"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Create and remove project","65658","createAndRemoveProject","Surefire suite","2026-07-31","failed","2026-07-31","tests.ui.ProjectUiTest","Surefire test","tests.ui.ProjectUiTest","createAndRemoveProject"
"","864","addCaseToProject","Surefire suite","2026-07-31","passed","2026-07-31","tests.api.CaseApiTest","Surefire test","tests.api.CaseApiTest","addCaseToProject"
"Create test case in UI","75896","createCaseUi","Surefire suite","2026-07-31","failed","2026-07-31","tests.ui.CaseUiTest","Surefire test","tests.ui.CaseUiTest","createCaseUi"
"","316","createProjectMissingTitle","Surefire suite","2026-07-31","passed","2026-07-31","tests.api.ProjectApiTest","Surefire test","tests.api.ProjectApiTest","createProjectMissingTitle"
"","892","createAndRemoveProject","Surefire suite","2026-07-31","passed","2026-07-31","tests.api.ProjectApiTest","Surefire test","tests.api.ProjectApiTest","createAndRemoveProject"
"","1056","verifyProjectFieldsAfterCreate","Surefire suite","2026-07-31","passed","2026-07-31","tests.api.ProjectApiTest","Surefire test","tests.api.ProjectApiTest","verifyProjectFieldsAfterCreate"
"Validation when creating project without name","5142","createProjectValidation","Surefire suite","2026-07-31","passed","2026-07-31","tests.ui.ProjectUiTest","Surefire test","tests.ui.ProjectUiTest","createProjectValidation"
