"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Validation when creating project without name","5062","createProjectValidation","Surefire suite","Fri Feb 13 18:56:32 UTC 2026","passed","Fri Feb 13 18:56:37 UTC 2026","tests.ui.ProjectUiTest","Surefire test","tests.ui.ProjectUiTest","createProjectValidation"
"","724","verifyProjectFieldsAfterCreate","Surefire suite","Fri Feb 13 18:57:46 UTC 2026","passed","Fri Feb 13 18:57:47 UTC 2026","tests.api.ProjectApiTest","Surefire test","tests.api.ProjectApiTest","verifyProjectFieldsAfterCreate"
"","690","createAndRemoveProject","Surefire suite","Fri Feb 13 18:57:45 UTC 2026","passed","Fri Feb 13 18:57:45 UTC 2026","tests.api.ProjectApiTest","Surefire test","tests.api.ProjectApiTest","createAndRemoveProject"
"Create test case in UI","66362","createCaseUi","Surefire suite","Fri Feb 13 18:56:38 UTC 2026","failed","Fri Feb 13 18:57:44 UTC 2026","tests.ui.CaseUiTest","Surefire test","tests.ui.CaseUiTest","createCaseUi"
"Create and remove project","65412","createAndRemoveProject","Surefire suite","Fri Feb 13 18:55:26 UTC 2026","failed","Fri Feb 13 18:56:32 UTC 2026","tests.ui.ProjectUiTest","Surefire test","tests.ui.ProjectUiTest","createAndRemoveProject"
"","260","createProjectMissingTitle","Surefire suite","Fri Feb 13 18:57:45 UTC 2026","passed","Fri Feb 13 18:57:46 UTC 2026","tests.api.ProjectApiTest","Surefire test","tests.api.ProjectApiTest","createProjectMissingTitle"
"","700","addCaseToProject","Surefire suite","Fri Feb 13 18:57:47 UTC 2026","passed","Fri Feb 13 18:57:47 UTC 2026","tests.api.CaseApiTest","Surefire test","tests.api.CaseApiTest","addCaseToProject"
