"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","323","createProjectMissingTitle","Surefire suite","2026-08-29","passed","2026-08-29","tests.api.ProjectApiTest","Surefire test","tests.api.ProjectApiTest","createProjectMissingTitle"
"","685","createAndRemoveProject","Surefire suite","2026-08-29","passed","2026-08-29","tests.api.ProjectApiTest","Surefire test","tests.api.ProjectApiTest","createAndRemoveProject"
"Create test case in UI","73998","createCaseUi","Surefire suite","2026-08-29","failed","2026-08-29","tests.ui.CaseUiTest","Surefire test","tests.ui.CaseUiTest","createCaseUi"
"Create and remove project","65406","createAndRemoveProject","Surefire suite","2026-08-29","failed","2026-08-29","tests.ui.ProjectUiTest","Surefire test","tests.ui.ProjectUiTest","createAndRemoveProject"
"","865","addCaseToProject","Surefire suite","2026-08-29","passed","2026-08-29","tests.api.CaseApiTest","Surefire test","tests.api.CaseApiTest","addCaseToProject"
"Validation when creating project without name","5059","createProjectValidation","Surefire suite","2026-08-29","passed","2026-08-29","tests.ui.ProjectUiTest","Surefire test","tests.ui.ProjectUiTest","createProjectValidation"
"","1008","verifyProjectFieldsAfterCreate","Surefire suite","2026-08-29","passed","2026-08-29","tests.api.ProjectApiTest","Surefire test","tests.api.ProjectApiTest","verifyProjectFieldsAfterCreate"
